herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max,herd_num,trt
Purcells Central,2003,6,NA,NA,0,7.422334276986635,6.804858795685681,8.163052800017825,28,NA
Purcells Central,2002,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,28,NA
Purcells Central,2000,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,28,NA
Purcells Central,1998,5,1,0.27257387758360857,0,5,3.929044975757408,6.8735502423130095,28,NA
Purcells Central,1997,14,0.99,0.07335189537830897,1,14.141414141414142,13.16591437025578,15.273036544135906,28,NA
Purcells Central,1996,17,0.99,0.07335189537830897,1,17.171717171717173,15.98718173531059,18.545830089307888,28,NA
Purcells Central,1995,15,1,0.27885696270686083,0,15,11.729224172381736,20.800311761039183,28,NA
Purcells Central,1994,15,NA,NA,0,18.555835692466587,17.0121469892142,20.40763200004456,28,NA
Purcells South,2012,14,NA,NA,0,17.31877997963548,15.878003856599925,19.04712320004159,29,NA
Purcells South,2011,15,NA,NA,0,18.555835692466587,17.0121469892142,20.40763200004456,29,NA
Purcells South,2010,15,NA,NA,0,18.555835692466587,17.0121469892142,20.40763200004456,29,NA
Purcells South,2009,14,NA,NA,0,17.31877997963548,15.878003856599925,19.04712320004159,29,NA
Purcells South,2007,15,NA,NA,0,18.555835692466587,17.0121469892142,20.40763200004456,29,NA
Purcells South,2006,16,NA,NA,0,19.79289140529769,18.14629012182848,21.768140800047533,29,NA
Purcells South,2005,10,NA,NA,0,12.370557128311058,11.341431326142802,13.605088000029708,29,NA
Purcells South,2004,11,NA,NA,0,13.607612841142164,12.475574458757082,14.965596800032678,29,NA
Purcells South,2003,9,NA,NA,0,11.133501415479952,10.20728819352852,12.244579200026736,29,NA
Purcells South,2002,13,0,0,0,16.081724266804375,14.743860723985645,17.68661440003862,29,NA
Purcells South,2000,13,1,0.35443705453243124,0,13,9.59808354068382,20.137463110718585,29,NA
Purcells South,1998,13,0.3333333333333333,0.2721655269759087,0,39,21.469900031456056,212.530099968544,29,NA
Purcells South,1997,37,0.99,0.07335189537830897,1,37.37373737373738,34.79563083567599,40.36445372378776,29,NA
Purcells South,1996,46,0.99,0.07335189537830897,1,46.464646464646464,43.259432930840426,50.18283435930369,29,NA
Purcells South,1995,63,1,0.12821454512584204,0,63,55.84044300100113,72.26548647693834,29,NA
Purcells South,1994,54,0.75,0.21650635094610965,0,72,55.8713348827347,101.21957420817438,29,NA
Purcells South,1993,44,NA,NA,0,54.430451364568654,49.90229783502833,59.86238720013071,29,NA
Quintette,2008,173,0.99,0.07335189537830897,1,174.74747474747474,162.69308471816072,188.73109443825084,30,NA
Quintette,2013,83,0.6470588235294118,0.1159040430757386,0,128.27272727272725,108.78642150608655,156.2633022508195,30,NA
Rainbows,2020,24,1,0.3515958185468361,0,24,17.756787695454342,37.01395007387624,31,NA
Rainbows,2016,32,NA,NA,0,39.58578281059538,36.29258024365696,43.536281600095066,31,NA
Rainbows,2008,44,NA,NA,0,54.430451364568654,49.90229783502833,59.86238720013071,31,NA
Rainbows,2001,45,0.75,0.21650635094610965,0,60,46.55944573561225,84.34964517347865,31,NA
Rainbows,2000,57,0.8,0.17888543819998315,0,71.25,58.229490168751575,91.77050983124842,31,NA
Rainbows,2000,108,NA,NA,0,133.60201698575943,122.48745832234226,146.93495040032084,31,NA
Rainbows,1999,96,0.8333333333333334,0.15214515486254612,0,115.2,97.41460737082926,140.9302202153776,31,NA
Rainbows,1999,120,NA,NA,0,148.4466855397327,136.0971759137136,163.2610560003565,31,NA
Rainbows,1998,98,0.7142857142857143,0.17074694419062766,0,137.2,110.7303770786439,180.29992595165916,31,NA
Rainbows,1998,107,NA,NA,0,132.36496127292833,121.35331518972798,145.57444160031787,31,NA
Rainbows,1997,111,1,0.1321568955328233,0,111,98.04294832101024,127.9033035218386,31,NA
Rainbows,1997,106,NA,NA,0,131.12790556009722,120.2191720571137,144.2139328003149,31,NA
Rainbows,1996,73,0.4,0.21908902300206645,0,182.5,117.91519036472454,403.5133810638469,31,NA
